id,model,score
23944,BERT,-0.40924561228884393
13317,PG,-1.0325112792251507
14625,BERT,-0.33702699752004744
17280,BERT,-1.064988147132304
23253,BERT,0.8273525040157986
14988,PG,0.28082846861555905
19537,PG,-0.7617077165626028
25246,BERT,-1.2275834480640777
17038,PG,1.0296620818586726
13635,BERT,-0.4832050549572058
23733,BERT,1.3914257856542867
15431,BERT,-0.12425997463915224
18594,BERT,0.09464888911191222
24868,PG,-0.5541348343705782
22300,PG,-1.2780953336863952
22548,PG,-0.9935362400135807
22344,BERT,0.5501373891179954
18189,BERT,0.8361484597402556
20396,BERT,0.5125001594547458
25727,BERT,0.2154141711261208
22050,BERT,1.2727048218375039
26378,BERT,0.9976733239586154
21857,PG,0.37672063670247086
17404,BERT,0.09824181786960706
16091,PG,0.3047892670890628
19770,BERT,1.2620038467371097
13742,PG,-0.1223636027756259
19052,BERT,0.013050624883089479
19154,BERT,-1.1275073770007416
23924,PG,-0.058994912131443866
13317,BERT,0.4644329547040185
25667,PG,-1.6937805208006163
15431,PG,0.5904075726672203
17725,PG,1.147372807963009
17148,PG,-0.4428809030078236
24727,PG,-0.19352826473896065
25095,BERT,0.3144800044770107
23366,BERT,-0.43140562262729487
14855,BERT,-0.7040791370851753
17182,BERT,0.7681677163480409
26293,PG,-0.08766805026895363
13322,PG,-1.7626322030837887
16678,BERT,0.29230374899608774
25095,PG,-1.1162842741949968
21793,BERT,0.1524167674108284
20062,BERT,0.303004724096482
14080,PG,0.561612669498524
22050,PG,0.29230374899608774
13511,PG,1.1685388257314857
14274,BERT,-0.8259486347455726
17725,BERT,0.9896943387249585
14274,PG,-0.04946448011064978
15496,BERT,0.3669503991403675
20507,BERT,0.8577299349674341
21631,PG,0.8919519562490672
17192,PG,-1.3953773343916283
16935,BERT,-1.3210566093184186
18064,PG,-0.8807626164723579
16935,PG,0.6318984053729314
13486,PG,1.0404198413380252
24535,PG,-0.45265727361135805
21809,BERT,1.5116930891994296
22129,PG,0.31835951757364955
22988,BERT,-1.1824279089993868
14085,PG,1.6430626372584862
25936,BERT,-0.27108692544438684
