id,model,score
9297,BERT,-1.0665420847458689
15620,PG,0.2511048816413509
1253,PG,0.07483509450213015
9907,PG,1.3795116227269542
12309,PG,0.19283650785178275
11471,BERT,-1.1564220004614059
240,PG,-1.0575540931743153
10842,PG,-0.1737559061783256
12456,BERT,-0.3579429190509143
2935,PG,-1.147434008889852
10851,BERT,0.5100433140463088
3316,BERT,0.6600326060933283
13767,BERT,-0.3388736944085127
12558,BERT,1.3875215329514383
13851,PG,-0.18361768076160842
13758,BERT,-1.1833859751760667
13453,BERT,-0.007411247760320705
2215,PG,-0.8278304218096285
9704,BERT,1.1450252239987349
3770,BERT,-0.9458376530348235
14634,PG,-0.7972612645577506
14481,PG,0.7782592958060887
15464,BERT,0.19283650785178275
1179,BERT,-0.2565630707259014
9310,PG,-1.2822538824631573
3651,BERT,1.212924190505492
5791,BERT,-1.1654099920329595
13576,PG,-0.4643466494517721
1661,BERT,-0.9229136830802561
1263,PG,0.6508651729493894
13512,PG,0.795651097534457
1179,PG,0.4678815177869779
8315,BERT,1.3875215329514383
4213,BERT,0.8928290626879235
7422,BERT,1.3875215329514383
6318,BERT,1.0468691774981989
9907,BERT,-0.6810883126235607
4550,PG,-0.7379505060940915
2677,PG,1.1450252239987349
5880,PG,-0.576959479705267
5791,PG,-1.1654099920329595
8840,PG,-1.2463019161769424
3290,BERT,1.2150539330827517
2366,PG,1.3875215329514383
123,PG,-0.43235879266126626
15368,BERT,-1.1654099920329595
1167,BERT,0.327656381425088
9430,PG,0.10153789259761774
11839,BERT,0.533650741716475
13836,PG,0.6840389557303057
3193,BERT,-0.19867101180087052
119,BERT,-0.5492791600853512
6618,BERT,0.6017254881136377
10074,PG,-0.40890698827875066
12799,BERT,-0.9425866742097679
1253,BERT,0.17141377084892817
1960,BERT,0.16227004961143607
15542,PG,-0.7191531235450882
15654,BERT,0.5350231530572968
14524,PG,0.19185037736973717
1617,BERT,1.0824686549910787
1404,PG,0.06427496241275112
119,PG,-0.5788104027779243
4584,BERT,0.5411983018346854
6343,BERT,-0.4445741116961303
11638,PG,-0.47172067940747525
11077,BERT,-0.16762024187908986
6319,BERT,-0.7308802555684082
12558,PG,0.002292989633229381
513,PG,0.29054946436664164
3795,PG,3.794875467231089
3651,PG,-0.8060147932124736
5880,BERT,-0.9425866742097679
15542,BERT,-0.6823083881568128
6701,BERT,-0.9425866742097679
6343,PG,0.9826016756563334
5590,BERT,1.5899119302850278
8426,BERT,-0.4538871176987855
10240,BERT,0.11490524521017305
4203,BERT,-0.5887269402857457
8162,BERT,-0.6501446496126836
452,PG,-0.7893686604878251
12456,PG,0.21720598459187454
13450,PG,-0.7604114982609813
7561,BERT,-0.6472251622183082
6318,PG,0.5011175390896879
8861,PG,0.14267497845297542
4213,PG,-0.11409992272672927
3496,BERT,0.9867993406947484
3290,PG,1.0128173815009258
10271,PG,0.07745697831673153
9636,PG,-0.013818330678271947
10486,BERT,-0.9069195507923884
2139,BERT,1.3413215082028105
7349,BERT,0.4566231370170724
6779,BERT,-0.9069195507923884
1159,BERT,-0.48637711583831633
5616,BERT,0.1376676246333368
15671,PG,-0.5609572070429434
2093,BERT,0.6838962465436408
313,PG,-0.8022145024031674
15238,PG,-0.24610861103762452
9763,PG,-0.7939431663173359
13758,PG,-0.6333648442100884
15750,PG,0.3391806106259894
7688,PG,-0.5095819610231844
15063,PG,-0.9353154364394021
3770,PG,0.46923060990864923
8315,PG,-0.21691474885823003
7688,BERT,1.0143211758505346
11974,BERT,-0.09512055086355435
7561,PG,-0.4506107959839372
15464,PG,0.8262172493653163
9636,BERT,0.02138118297320546
10486,PG,-0.8661053774316727
13341,BERT,-0.6324925802016783
6618,PG,-0.6649167693059227
1394,PG,0.971149895901351
5804,PG,0.4894096978250684
2211,PG,-0.1799639951699217
11077,PG,0.30890042148193814
874,BERT,3.2516635589665697
706,PG,-0.13024911915105997
7131,BERT,0.818953982799477
4584,PG,-0.6071436593396043
2935,BERT,-0.8797094409721221
2139,PG,-0.7692048302611489
13512,BERT,0.5822376952000382
11197,BERT,-0.7565371425911054
3033,PG,0.18016838722875197
9297,PG,0.3567934728571869
2366,BERT,0.1760687463892244
4105,PG,-0.5602431426865003
5915,BERT,1.1704820190639922
7131,PG,-0.8188695006971917
12309,BERT,-0.41502298115338115
1404,BERT,0.13925019293003563
6779,PG,-0.11892648755446376
452,BERT,-0.6946273709672374
13836,BERT,1.0791368705033195
7422,PG,1.2237599927525387
3874,PG,-0.28630882968449994
15238,BERT,1.5551333108888923
7519,BERT,-0.9723861000842554
14635,BERT,-0.6211267257487054
5616,PG,-0.6211267257487054
1617,PG,0.23979910061962348
13851,BERT,0.5505154852714024
6517,BERT,0.6678519098187189
11464,PG,-0.6044138698365306
6739,PG,-0.6211267257487054
706,BERT,2.9438491548948895
11638,BERT,-0.34802305993130117
2766,PG,-0.43728531071478205
11865,BERT,-0.5877010139243558
10074,BERT,2.449558730661645
14481,BERT,-0.45399816662695697
313,BERT,0.05978315827185579
15671,BERT,-0.6211267257487054
15273,PG,0.12868513575621068
13450,BERT,-0.48332760949815384
15063,BERT,-0.5375624461878312
6739,BERT,-0.6211267257487054
2766,BERT,1.1319747223262218
9704,PG,-0.6211267257487054
4544,PG,-0.18476285762195865
14524,BERT,0.6020152924201496
9960,BERT,2.4470641639779456
15750,BERT,-0.6211267257487054
459,PG,-0.47071102253913183
11974,PG,0.2414915409459494
4550,BERT,-0.5041367343634815
7266,BERT,-0.6211267257487054
6306,PG,-0.5041367343634815
123,BERT,-0.6044138698365306
4105,BERT,-0.6211267257487054
14580,BERT,1.7942352953502991
10271,BERT,1.1012957203900395
6306,BERT,-0.5877010139243558
459,BERT,-0.570988158012181
6384,PG,0.2439768466414903
1394,BERT,0.09395630089387808
5590,PG,-0.4733241102441766
13576,BERT,-0.30844710450360363
8717,PG,-0.5877010139243558
10240,PG,-0.01603259623075623
4203,PG,-0.013856679744676007
4802,PG,0.11221096726471635
1402,PG,-0.44576957026116487
11396,PG,-0.8701298676871408
3874,BERT,-0.45461040979087275
3436,PG,-0.20509720562225423
3316,PG,-0.3936865832654293
7349,PG,0.7339107137770379
14015,PG,-0.8701298676871408
8861,BERT,-0.4369287307314571
11464,BERT,0.04239654995030662
7266,PG,0.005113245753934681
4802,BERT,0.053256838076072066
14015,BERT,-0.22474858201846903
6517,PG,-0.3485203354343787
11471,PG,-0.14220368176001177
3795,BERT,1.8852811697764225
240,BERT,-0.43779958697041627
4530,PG,-0.8701298676871408
8840,BERT,-0.19428666875574732
1167,PG,1.4760194052824689
2093,PG,-0.3563535278097989
1661,PG,-0.8701298676871408
9508,BERT,-0.2424302610778847
13767,PG,-0.30431613778583955
4530,BERT,0.8130528618832643
513,BERT,-0.32185537268758113
3033,BERT,0.5761630600859525
6701,PG,0.07290821447228683
3193,PG,-0.2159077424887612
12466,PG,-0.8701298676871408
6863,BERT,0.07290821447228683
14635,PG,-0.4280878912017492
4776,BERT,1.5128214714590775
15620,BERT,-0.4369287307314571
1263,BERT,0.4682411524058363
7519,PG,-0.8701298676871408
6884,PG,1.5003143932294136
13341,PG,0.053256838076072066
12592,PG,3.0456288303638286
12799,PG,-0.2159077424887612
9310,BERT,1.590174811160746
12592,BERT,3.0456288303638286
14580,PG,-0.5488823001265722
8717,BERT,0.34034654333137543
11197,PG,-1.0463777972737034
9430,BERT,0.26330171963259025
11396,BERT,-0.08250472337970684
