id,model,focus,coverage
483,BERT,-0.2155139130105908,0.032430972471820384
483,PG,0.7963356294352534,0.4782563278284359
488,BERT,1.042291928651616,0.6861319051278775
488,PG,0.8873020201376072,0.4176033277148557
495,BERT,-0.4122679311371827,-0.5249080057445498
495,PG,-0.08048818341923786,-0.1747805119183633
498,BERT,-0.8006676240163584,-0.391263488283046
498,PG,-0.2215332610014283,0.10784166778623737
505,BERT,-0.4970388956419625,-0.8006676240163584
505,PG,-0.4334606722633776,-0.4546534133895726
506,BERT,-0.4546534133895726,-0.7298643542012943
506,PG,0.061657267346551727,0.059543494471314615
507,BERT,-0.23819528343301966,-0.14909896736023795
507,PG,0.07024508148823047,0.1450352109194075
510,BERT,-0.4555565520377082,-0.7617555247495197
510,PG,-0.5936196328443019,-0.46193628849163504
512,BERT,-0.7617555247495197,-0.6972839898952351
512,PG,0.17816141004079875,-0.0675367596648097
532,BERT,-0.321051731391888,-0.6582491765915719
532,PG,0.00037858817742440304,1.0020925598455401
545,BERT,0.09427510230553886,0.2769878155490087
545,PG,-0.2377761154353369,-0.16107901060136495
548,BERT,-0.3160848875840045,0.1983210414525827
548,PG,-0.4149694023849464,-0.20149763099048865
551,BERT,-0.5421859296920358,-0.7887700954027693
551,PG,0.08308146711748958,-0.06778236514763901
555,BERT,-0.7617555247495197,-0.8006676240163584
555,PG,-0.39107519001098784,-0.2673141491402627
565,BERT,-0.6971833795098481,-0.4301977969556348
565,PG,0.09562465550403282,2.145414400325924
570,BERT,0.15474677592662234,0.582977625398477
570,PG,1.283231652362576,1.190592416086414
575,BERT,0.15692153425195102,0.13856064986808145
575,PG,0.17544249518429494,0.8483782509933394
576,BERT,1.056920215830319,1.9836716887872492
576,PG,0.7903131952400931,2.6129186666967117
586,BERT,-0.6971833795098481,0.2785863426963417
586,PG,-0.7617555247495197,-0.18938933580038272
589,BERT,-0.7617555247495197,-0.8006676240163584
589,PG,-0.3969634643970061,-0.3776248049478646
608,BERT,-0.4758461545157675,-0.7298643542012943
608,PG,-0.6473978482283134,0.4147211707095637
614,BERT,-0.7194790104064156,0.1795679433123403
614,PG,0.5953184259101293,0.025524842684500743
616,BERT,-0.3269303855520504,-0.7617555247495197
616,PG,0.5936349798549752,1.0141919264422536
624,BERT,-0.2995172522480774,-0.05916283790557799
624,PG,-0.5651023629009654,0.4572784230896068
628,BERT,-0.4970388956419625,-0.5011441369946705
628,PG,-0.449338586196926,-0.4857215191336458
634,BERT,-0.4149327566078311,0.341010957260879
634,PG,-0.1318684050945421,-0.059870140990877264
639,BERT,1.2790507208592754,0.7812709278166077
639,PG,-0.5651355070897135,0.5926993840450335
643,BERT,-0.5726074044444344,-0.18103888051701134
643,PG,0.28945166814368417,0.17915590959417085
645,BERT,-0.7617555247495197,-0.6972839898952351
645,PG,-0.662331259944054,-0.39107519001098784
651,BERT,-0.4546534133895726,-0.4546534133895726
651,PG,1.1727362970533641,0.2492429020406905
660,BERT,-0.4499753466502683,-0.3934172319236371
660,PG,-0.2274963324657843,0.3909261134823859
661,BERT,-0.2349138148166456,-0.5347643432662904
661,PG,-0.6054778394115783,-0.6560642388917592
663,BERT,-0.4263546621198729,-0.6579755310068126
663,PG,-0.714943495938832,-0.6348466091041532
669,BERT,-0.26007636383320204,1.2619726943111331
669,PG,1.4667444087647548,0.5940386459785155
671,BERT,-0.023878150833955933,-0.07466214661267058
671,PG,1.1939341641736074,3.3066837024964904
675,BERT,-0.10361004909613412,1.0948965847368437
675,PG,0.6595678894039897,2.677543363372888
680,BERT,-0.3353631486944946,-0.6971833795098481
680,PG,-0.39401932720399696,-0.04769801242657625
695,BERT,-0.5216273300287512,-0.0847658646292424
695,PG,-0.5284436042720855,0.2258056922924836
696,BERT,-0.4546534133895726,-0.3486897077585979
696,PG,0.239568087840936,1.6482566047883342
701,BERT,-0.2946362871683861,-0.058682518998448785
701,PG,0.18510435141948609,-0.2438682240464933
703,BERT,-0.7617555247495197,-0.8006676240163584
703,PG,0.026843330240404768,0.3909261134823859
711,BERT,-0.5222705712475552,-0.1496651467007704
711,PG,-0.19590998875907306,0.3432532568434585
714,BERT,-0.6971833795098481,-0.4758461545157675
714,PG,-0.391263488283046,-0.6751726887513946
719,BERT,0.9990007677725284,0.8493169074303782
719,PG,0.11775279926521096,0.8619709519400477
720,BERT,-0.5651023629009654,-0.2749892548181963
720,PG,-0.5535711894269625,-0.3327112683275513
736,BERT,-0.4970388956419625,-0.6748950525214926
736,PG,-0.4758461545157675,-0.4122679311371827
747,BERT,-0.8006676240163584,-0.6971833795098481
747,PG,1.4602218756661405,1.0573615250622797
749,BERT,-0.2639187432538182,-0.39107519001098784
749,PG,-0.8006676240163584,-0.3614353505889854
751,BERT,-0.4970388956419625,-0.6971833795098481
751,PG,-0.7198707054441997,-0.6666819397340161
754,BERT,0.4852275861857648,-0.11536791479046132
754,PG,0.4202392604217318,1.2330616826077476
