id,model,focus,coverage
1,BERT,-0.5661349820044009,-0.4609105100148453
1,PG,0.6499455405429542,0.7981765055751072
3,BERT,-0.6971833795098481,-0.4970388956419625
3,PG,-0.4546534133895726,-0.4746528354347957
20,BERT,-0.5599559097492238,-0.4970388956419625
20,PG,0.4307739598398099,0.3037629662013933
22,BERT,-0.3934172319236371,-0.384839079041468
22,PG,0.3381146022255805,0.9273053582543171
24,BERT,-0.1579550376228435,-0.4423323642401173
24,PG,-0.2554166205266738,0.025177450923545102
29,BERT,-0.4334606722633776,-0.6348466091041532
29,PG,-0.028134761249536625,0.22259261892217955
39,BERT,0.21873449523741212,-0.5965722142188884
39,PG,1.6694132647278463,3.702266767141309
42,BERT,-0.5798773074243515,-0.4970388956419625
42,PG,-0.14601555819849732,-0.19608942176473065
55,BERT,-0.17914777874903845,-0.3606614381218271
55,PG,-0.5996969566360774,-0.4122679311371827
56,BERT,2.873414740119184,2.690801344879408
56,PG,-0.23819528343301966,-0.27150716800511354
63,BERT,-0.2995172522480774,-0.24592319460493806
63,PG,-0.3062093318678548,-0.21211706864727006
96,BERT,0.16652232793282676,-0.39107519001098784
96,PG,-0.3486897077585979,-0.2293433522928928
101,BERT,-0.6971833795098481,-0.8006676240163584
101,PG,-0.3949295913221145,-0.05416381446802351
107,BERT,-0.8006676240163584,-0.6971833795098481
107,PG,-0.6971833795098481,-0.3698824488847929
108,BERT,-0.133716022299064,0.5387387424588601
108,PG,0.8850688718715721,2.818818695454305
109,BERT,-0.809961241035973,-0.6971833795098481
109,PG,-0.6971833795098481,-0.3743979619981577
115,BERT,-0.3744798843604886,-0.7617555247495197
115,PG,-0.24851418624920585,1.0337417666905
126,BERT,-0.8006676240163584,-0.8006676240163584
126,PG,-0.4160846556687639,-0.4128806290211409
128,BERT,-0.4970388956419625,-0.7617555247495197
128,PG,-0.5912625671592779,-0.5952234339560633
131,BERT,2.2299928896219248,2.1357422877567043
131,PG,0.2351164718611698,0.1794131683449345
