fnames,moverscore
8140,-0.1279508216233638
10635,0.0019397479666294348
3490,-0.012933794776676777
8455,-0.11645358839299691
11399,-0.02801364401180395
6038,0.020615575652685125
13597,-0.017602967309023665
12687,-0.059080637294292915
9979,-0.05761906585353227
1505,-0.07836651612908785
11578,-0.13905473617227626
10556,-0.005619751777105275
727,0.11107022399416244
1251,0.04110954045368653
4146,-0.021136842489861696
5858,-0.13559357609557954
7443,-0.03763251452703131
9565,-0.011956973281042282
6153,0.15988071225256284
3137,-0.03128207830059271
9041,0.15481814620082213
9928,0.09690665926990338
10119,0.20758064000876453
9327,-0.10127059746347222
1481,-0.1200603872866357
1578,-0.08436047700611482
10828,-0.03117347072235388
8503,0.0507997229071131
1928,-0.061794965656812195
4928,0.03154984573031705
7178,-0.05780033490830938
8733,-0.09651902010943902
11680,0.11828778369413262
866,-0.0759902821344065
2528,0.04706922745574771
6793,-0.020393295278964718
11068,-0.07964570708962082
10528,0.005631646654886691
11377,0.16037829534418635
2739,0.08780965416783892
6256,-0.08251092374173252
4421,-0.01705141952100564
7001,-0.03376988851665841
1278,-0.1017802835622712
824,0.18163907617163333
9534,0.05306257496396616
10449,-0.1172053183580215
13530,-0.05541590650679673
414,0.025828214464852728
9057,0.08863028353782487
1209,-0.11330765431670575
1483,-0.0681965303609342
9423,0.008459919264802274
8722,0.03419069212641401
6743,0.22056681119524668
1034,0.04703077097289543
8928,-0.04829432893732566
7411,-0.08126927478600132
9092,0.12362364038792006
7827,-0.05251882173126887
13079,-0.05085155275528441
17,-0.02104779851366434
11495,-0.0667005684691766
4116,-0.04018979655111643
4789,-0.0844637268159576
12323,-0.04834005416482068
3559,0.3846305037592048
1551,0.14921542866346027
7635,-0.040307212432727724
6533,-0.1671425503099897
8504,0.005892731128365858
9231,-0.11726804705631455
8960,0.3531999580901458
7997,0.13687055126123848
4173,0.03833336223391737
11413,-0.030570660907441427
5197,-0.05217509744418947
1030,-0.07182256547338639
3575,0.15349078886459233
2127,-0.08861636609802082
10697,-0.04278322599814954
12570,-0.09967904679496264
561,-0.11510056492018328
5131,0.01765578293660741
2369,0.24412089842853357
5124,-0.10128346694488255
926,-0.09653603995600735
463,-0.12440439554735105
2891,0.10349732169000914
9724,-0.04540414157297801
1248,0.04446207330079277
13808,0.01982672481187464
6220,-0.18538179809935174
11519,-0.02416061333262931
4820,0.0025390981551097758
3748,-0.04299554304577313
7629,-0.03704887870801388
2017,-0.0636401977531329
1561,-0.0064337351836123435
5356,0.10892388678416509
11655,-0.02419685387574444
13280,-0.17114422283295827
619,-0.07122608486550508
7465,0.27297928434738283
5656,0.024650615071486026
11692,-0.11830421436226901
11591,-0.011109696710231987
734,-0.02534932234023568
2151,-0.004165024362676739
9689,-0.06582525115930293
84,0.14624490953655933
7242,-0.06029401876720142
2930,-0.1619139737749824
3466,-0.0015615489645051106
7347,-0.035554472015556726
10149,0.048252424880888434
12179,-0.03958383964989265
7173,0.09542787544666176
9224,-0.03841624068262739
5923,-0.1010522697365781
117,-0.12624343643014746
9621,-0.045925093904181535
7145,-0.08509486333436467
12303,0.14584602043581274
11746,-0.06808632328429676
5640,-0.16453201058432
9646,-0.11738847109062256
8851,-0.07266876933075594
992,-0.007808090905951026
5071,-0.062281446380440864
5018,-0.07536491202751194
6109,0.009983269677168782
604,0.09635751235878565
2231,-0.03700855439923245
10793,-0.11937003758470066
