fnames,moverscore
8140,0.762843651255207
10635,0.775833800979157
3490,0.7777023032536385
8455,0.7716987217423593
11399,0.7757808397317203
6038,0.7865687748849881
13597,0.7640858270914013
12687,0.7711564827833476
9979,0.7653301840365315
1505,0.767935718359156
11578,0.7699636812450713
10556,0.8398890913314447
727,0.7771328729298745
1251,0.7865901497469956
4146,0.8244857037659246
5858,0.767434731113142
7443,0.8069794338403167
9565,0.7617797439053178
6153,0.7500817466778557
3137,0.7707817626222273
9041,0.7630016525179933
9928,0.7766754713503357
10119,0.8031827914420611
9327,0.7671131179297025
1481,0.7784161152642312
1578,0.7608940050137206
10828,0.8090519929076329
8503,0.8291206386820367
1928,0.7630659979294031
4928,0.7667629526974304
7178,0.7630283778977285
8733,0.8102588006543526
11680,0.7803136456483666
866,0.7531050553830342
2528,0.7632931367281547
6793,0.750472895307216
11068,0.776588527390664
10528,0.7781678115858881
11377,0.7809426183635771
2739,0.7977328693094703
6256,0.8022233615876975
4421,0.7665686459279389
7001,0.770403140386881
1278,0.7563201497923562
824,0.7763962204050863
9534,0.8198958442316513
10449,0.7565123972833903
13530,0.7801084057256549
414,0.7682334767249012
9057,0.7631650222493105
1209,0.7841887179298057
1483,0.7872741761314235
9423,0.7919764644318097
8722,0.7672217850200881
6743,0.772438516719718
1034,0.8050271759794578
8928,0.8517829168010566
7411,0.7900491947104533
9092,0.7561117408366346
7827,0.7748712971210486
13079,0.8339508827899412
17,0.7781879005015939
11495,0.8119205312982051
4116,0.7793731229271119
4789,0.7525228696319151
12323,0.8750534474618463
3559,0.8173380309121394
1551,0.7532860223517288
7635,0.7448973628334918
6533,0.7468919729496143
8504,0.7750706797126565
9231,0.7800852241836091
8960,0.8415016954724284
7997,0.7950725346684452
4173,0.7725204043878078
11413,0.760848166701462
5197,0.7542689272012721
1030,0.774477321245193
3575,0.7668432961559608
2127,0.7437094361511873
10697,0.7456690923916778
12570,0.7712351142588463
561,0.7730585984231322
5131,0.799858622979569
2369,0.7612008138271884
5124,0.7809264786002539
926,0.7655476598198996
463,0.7612139379499521
2891,0.8386986155456604
9724,0.759436066577513
1248,0.8141604820186297
13808,0.8159103853991845
6220,0.7722438652825316
11519,0.7773699818616085
4820,0.7844572278715388
3748,0.7521154588108927
7629,0.7888124927082958
2017,0.7687006809909647
1561,0.7273227527866614
5356,0.7653817048473992
11655,0.8064122215421615
13280,0.7950950688609527
619,0.7654076817214703
7465,0.8641956880719877
5656,0.785107753711843
11692,0.8022450929547171
11591,0.7955075894621886
734,0.7542062596755723
2151,0.7757423744400938
9689,0.7649250300736021
84,0.7791917213243895
7242,0.7856832262260677
2930,0.7707407621606379
3466,0.7784856329461995
7347,0.7615454464362403
10149,0.7834509479899655
12179,0.7652010148466101
7173,0.7805521755695355
9224,0.7692928620803462
5923,0.7987542710441491
117,0.7713872920297986
9621,0.7703790543899737
7145,0.7823707417640746
12303,0.76696335163521
11746,0.7547107653886319
5640,0.7691535786263412
9646,0.7863202690705602
8851,0.8197461831227876
992,0.7850951120371419
5071,0.8136725583271381
5018,0.782614085033757
6109,0.7701005753558878
604,0.804246551100038
2231,0.7525170927518441
10793,0.7646768397123268
