fnames,moverscore
36,0.8080562111862034
30,0.8509497373737983
46,0.7867305543811124
71,0.7822534503794807
127,0.8515934093865751
62,0.831737220391211
41,0.8039392100121845
96,0.8841328383027476
86,0.7861193517360296
121,0.8275562369246152
10,0.8019572531892732
55,0.8444904435662361
79,0.8343490081212693
29,0.8304601193912969
74,0.8432131856121281
93,0.8411139922807477
133,0.8212806618389004
50,0.8198585927056425
25,0.8089266226140439
103,0.8073411903656335
123,0.7909611910764874
35,0.7918686150314185
105,0.8830568660772039
110,0.8271036129984569
87,0.8293224583828588
24,0.8298417567987951
19,0.8282990226282004
13,0.7943417079352479
34,0.7812221166646357
67,0.844830655493084
132,0.8410701886821448
92,0.80913821411008
104,0.862772157161604
1,0.818237335468692
47,0.8493920575421929
51,0.8261799981734926
68,0.7761621578802268
23,0.8052827218265313
108,0.8334973306244322
98,0.8240491979724598
21,0.835802870405786
106,0.8157187210045882
128,0.8110374985787927
64,0.8197510147503986
42,0.8141072143546038
100,0.8036132715113884
69,0.8139771636181392
61,0.7663978123976183
130,0.8315544218141699
31,0.7993713185579018
20,0.8306392876669749
65,0.8165610684998359
91,0.8263917482754236
63,0.7870585660399108
43,0.8469743114654921
32,0.8739821649665729
18,0.8279130772364729
88,0.8095393392901504
119,0.788207662619322
66,0.8061758020074562
89,0.7887172758515546
53,0.8248674080846173
39,0.8125291947413291
80,0.8304444831911935
115,0.8180239569631024
49,0.8228370386673716
120,0.8321183188100492
78,0.7934992023411827
17,0.7961145577725187
113,0.802215683701786
129,0.7927058621154828
85,0.8197029919602565
38,0.792336816320988
56,0.8190571452129244
11,0.7889613172115888
8,0.8285605530296646
44,0.8252842769183162
27,0.8290276006626217
37,0.8243297668380708
54,0.8057515788754932
90,0.8208984299593552
101,0.8576554520888664
12,0.8100657366816191
109,0.795613703234796
52,0.7805507401197677
124,0.8036240076446406
77,0.7705688807482098
82,0.7971234668809659
4,0.8104110712119659
97,0.8495659010487412
59,0.8148316466855315
73,0.8217615146864232
118,0.8316420070933122
6,0.806328085119806
28,0.8361429631883096
114,0.8006515649423669
134,0.8050220535648765
81,0.8117089531168249
16,0.8024374128898537
76,0.792476136307749
26,0.8227476218784269
3,0.8209166718219033
125,0.8681960395204978
45,0.8188993935320414
83,0.801828039635586
84,0.7863366426446557
2,0.8065794565163673
131,0.8269551644868522
0,0.854615458157918
14,0.8763446605672519
107,0.8118801977715455
95,0.8547192326332577
9,0.8007624431604672
126,0.8341379390250856
99,0.7968606943699568
57,0.8052156952172826
75,0.8065793936661532
117,0.7933462401975446
15,0.8016526599439717
102,0.822111434617235
111,0.7968988556880838
60,0.8158005930717853
40,0.8212080329341788
112,0.8001128503215296
33,0.8050882492984763
122,0.803377327303264
70,0.8030367553822507
48,0.8599726417036034
22,0.8312463224154857
94,0.8036393188640001
7,0.7963846847437562
116,0.8441045973353933
72,0.8359721037198063
58,0.8642269123256846
5,0.8250955034826732
