fnames,moverscore
3750,0.7824708072091999
2925,0.9196432226522029
7693,0.957992790775167
3061,0.7527439502013022
1445,0.7711417673049727
6961,0.8306463297860345
2067,0.7624175627754985
1936,0.7312462737340368
1120,0.8577419975999759
7735,0.9570234606474205
1186,0.7685270676152891
7372,0.8947852945192165
7338,0.7621454897784157
5440,0.7780132726544452
4989,0.7748270949238865
2666,0.7621364087952243
4014,0.7743232778464352
4557,0.7837132823939923
6770,0.7789885518540698
2327,0.7598046738325133
2756,0.7834170124128527
547,0.7684512131973131
3042,0.7592718743696885
4711,0.7692783518989146
7966,0.7761608699811339
8659,0.9257279727077553
9492,0.790197912106249
814,0.8349658593537163
3782,0.8553803895301874
3182,0.9490435296403225
7123,0.7643115282172415
2248,0.7852371869614171
9100,0.8484398468508776
6184,0.771837941886482
1905,0.7680148699276129
5901,0.7647344681823451
1376,0.7638196461589009
9983,0.7559893708049865
3877,0.8156510834088879
8173,0.7923071446678125
9930,0.9468282542292571
7247,0.7867642680067102
10657,0.7846720649588281
5006,0.7532705381444044
6520,0.7444091035706009
3847,0.8394807497902146
7198,0.7972300164809619
9576,0.7755184963386144
8973,0.7442812911216727
115,0.7601287794968797
1728,0.7401314948492821
2919,0.7425115691705273
9287,0.7566655043944028
8342,0.9458321940085127
186,0.8399035434537427
7946,0.7646517186156585
929,0.843040566137115
767,0.8829039590551133
7635,0.7799756138882601
1782,0.80943430192781
9665,0.7540784650936949
5639,0.7681866580692502
4506,0.9524915422779822
2234,0.7796600161700715
10262,0.8658354515637522
5225,0.7889022774562805
175,0.9511453273343374
10206,0.9000125338186207
9993,0.8559252345277769
9662,0.9594212950596337
7070,0.7927214912217602
3347,0.781655339308736
10619,0.7605475299084317
3871,0.8673244972364407
2039,0.7508576069602467
9006,0.7592347837516618
8921,0.7768122997203397
1734,0.7527703345767218
6013,0.7809577773842118
4208,0.7768754321683253
2817,0.7738847769879054
1248,0.7792258320907048
3058,0.7776687087319819
2084,0.7708837325996977
4281,0.7704502052708327
568,0.7676996822618783
7219,0.7723668471776537
2051,0.7731507128102294
7612,0.7877774979828361
3088,0.8043969986561201
3060,0.7597910324650462
6740,0.8768057658530644
10613,0.7761129584152624
3897,0.7601752189210425
7163,0.7560359193861714
6536,0.7742230104407173
626,0.7690120832716216
4697,0.7780833110649004
3192,0.7493586786780753
9498,0.7629419076023258
9971,0.7639197283811634
7454,0.7652629438116669
2525,0.8541226861414002
3725,0.8636033750120551
8920,0.8134935524385435
4951,0.7642129715976411
7723,0.8342673108541931
396,0.7727584177267779
8583,0.9275728290502265
7984,0.7811010614309369
4133,0.7670173296575544
807,0.7122004671624736
3745,0.7500007501665886
5740,0.7670764850554002
9106,0.8161545563175627
1411,0.7801609095327431
9721,0.7584087004279586
2353,0.7558204910705023
4370,0.7832390712997935
6281,0.7723638366614842
4839,0.8669523419790415
4214,0.8209265796480862
1917,0.9163636504098285
4444,0.8444847546348767
856,0.7820722309608605
3497,0.7863593538571261
2750,0.8264159920051093
5020,0.7569670622162848
8719,0.7607855247065856
4418,0.7786943642140194
2772,0.792722817536723
7580,0.7549696084259354
7890,0.9606420212018589
4976,0.9058470688130752
6627,0.7650086129656466
