layer,precision,recall,fnames
1,"[0.48577946424484253, 0.9066095352172852, 1.0, 0.3385159969329834, 0.42959120869636536, 0.6852672100067139, 0.31191539764404297, 0.34497547149658203, 0.7111430168151855, 0.9999998807907104, 0.4210870862007141, 0.7791265845298767, 0.32303690910339355, 0.372579962015152, 0.43489140272140503, 0.3406733572483063, 0.435892790555954, 0.3601662218570709, 0.4220133423805237, 0.4785092771053314, 0.42884981632232666, 0.42460471391677856, 0.40626218914985657, 0.4555330276489258, 0.44305336475372314, 0.8873382210731506, 0.5494403839111328, 0.7205187678337097, 0.7495638132095337, 0.9999998807907104, 0.46705105900764465, 0.5911853909492493, 0.7103257775306702, 0.4923253357410431, 0.4084610342979431, 0.35338813066482544, 0.4274749159812927, 0.3553631901741028, 0.6056304574012756, 0.4691154956817627, 1.0, 0.5174762010574341, 0.4152773320674896, 0.4719099998474121, 0.2873295843601227, 0.673660397529602, 0.45745837688446045, 0.40192103385925293, 0.43562301993370056, 0.385265976190567, 0.4870309829711914, 0.40823203325271606, 0.39564022421836853, 1.0, 0.75760817527771, 0.4040679931640625, 0.7399771213531494, 0.8162751197814941, 0.37779730558395386, 0.5088176727294922, 0.41897261142730713, 0.4428761601448059, 1.0, 0.5265148878097534, 0.7506778240203857, 0.41316044330596924, 0.9999998807907104, 0.8476765751838684, 0.7606024742126465, 0.9999998807907104, 0.3898087441921234, 0.5220978260040283, 0.46472597122192383, 0.8036371469497681, 0.3803499937057495, 0.41992300748825073, 0.5178679823875427, 0.44714704155921936, 0.49615609645843506, 0.48428085446357727, 0.4486044645309448, 0.41062551736831665, 0.5492662787437439, 0.4779967665672302, 0.41830533742904663, 0.45521292090415955, 0.3821491301059723, 0.486872136592865, 0.46053510904312134, 0.625184953212738, 0.4191436469554901, 0.7947958707809448, 0.42791125178337097, 0.3295590281486511, 0.43400898575782776, 0.45862919092178345, 0.49885714054107666, 0.3997817933559418, 0.48445308208465576, 0.46330854296684265, 0.40005892515182495, 0.43228432536125183, 0.6935494542121887, 0.8329790830612183, 0.5203026533126831, 0.3269362449645996, 0.6762011051177979, 0.4670347273349762, 0.9499101638793945, 0.47179722785949707, 0.3374755382537842, 0.4039226770401001, 0.4215379059314728, 0.4278051257133484, 0.5109895467758179, 0.4844217896461487, 0.3432357609272003, 0.3809889554977417, 0.4684164822101593, 0.4512561559677124, 0.7945501804351807, 0.6253917217254639, 0.9419020414352417, 0.7306321263313293, 0.45442041754722595, 0.5428255796432495, 0.6202437877655029, 0.41063034534454346, 0.4226597249507904, 0.39194369316101074, 0.4778080880641937, 0.4122896194458008, 0.9999999403953552, 0.8386227488517761, 0.38339266180992126]","[0.5330944061279297, 0.9981321096420288, 1.0, 0.37729424238204956, 0.5175225138664246, 0.8960955142974854, 0.6963275671005249, 0.4916313886642456, 0.9944837689399719, 0.9999998807907104, 0.47594332695007324, 0.9496808052062988, 0.3822726011276245, 0.4777536392211914, 0.546524167060852, 0.4654231071472168, 0.7806928157806396, 0.4589749872684479, 0.5646580457687378, 0.4577772915363312, 0.4910610318183899, 0.4647994339466095, 0.5089889764785767, 0.4427698254585266, 0.5162072777748108, 0.9981582760810852, 0.49794507026672363, 0.9934344291687012, 0.8031237721443176, 0.9999998807907104, 0.4963036775588989, 0.4876071810722351, 0.9940078258514404, 0.7030854225158691, 0.47494232654571533, 0.4084588885307312, 0.4933941662311554, 0.37982919812202454, 0.9913259744644165, 0.569882333278656, 1.0, 0.5684858560562134, 0.46996578574180603, 0.45912402868270874, 0.4631626307964325, 0.994568943977356, 0.47317102551460266, 0.45796167850494385, 0.46365758776664734, 0.5762791633605957, 0.44843196868896484, 0.4720839560031891, 0.4344988465309143, 1.0, 0.9948375225067139, 0.518507719039917, 0.9947741627693176, 0.9971519708633423, 0.42884039878845215, 0.6259130835533142, 0.6391503810882568, 0.49290621280670166, 1.0, 0.5064338445663452, 0.9942808151245117, 0.42941391468048096, 0.9999998807907104, 0.9961457252502441, 0.9946067333221436, 0.9999998807907104, 0.4961712658405304, 0.5114003419876099, 0.5207155346870422, 0.996587872505188, 0.43025845289230347, 0.41782742738723755, 0.5840449333190918, 0.4681050181388855, 0.5785214304924011, 0.607172966003418, 0.5289477705955505, 0.4511464238166809, 0.5228156447410583, 0.4803783893585205, 0.45447462797164917, 0.5298628807067871, 0.4671318531036377, 0.6622924208641052, 0.5862990617752075, 0.7889975309371948, 0.5124255418777466, 0.99635910987854, 0.43223536014556885, 0.4180814325809479, 0.42905351519584656, 0.4887292981147766, 0.44786301255226135, 0.4835185408592224, 0.4401978850364685, 0.5430464744567871, 0.5106202960014343, 0.4723663330078125, 0.9585132598876953, 0.9927316308021545, 0.57843017578125, 0.4577539265155792, 0.8919002413749695, 0.5501433610916138, 0.9958690404891968, 0.37335270643234253, 0.5017926096916199, 0.45814359188079834, 0.47193604707717896, 0.5444122552871704, 0.538219153881073, 0.47820013761520386, 0.533706545829773, 0.4692809283733368, 0.48314887285232544, 0.6400513052940369, 0.9967981576919556, 0.8261641263961792, 0.9956597089767456, 0.9937739372253418, 0.45549872517585754, 0.5112648010253906, 0.7953469157218933, 0.5083736777305603, 0.565889298915863, 0.41591376066207886, 0.5357257723808289, 0.47716236114501953, 0.9999999403953552, 0.9949739575386047, 0.5091220140457153]","['3750', '2925', '7693', '3061', '1445', '6961', '2067', '1936', '1120', '7735', '1186', '7372', '7338', '5440', '4989', '2666', '4014', '4557', '6770', '2327', '2756', '547', '3042', '4711', '7966', '8659', '9492', '814', '3782', '3182', '7123', '2248', '9100', '6184', '1905', '5901', '1376', '9983', '3877', '8173', '9930', '7247', '10657', '5006', '6520', '3847', '7198', '9576', '8973', '115', '1728', '2919', '9287', '8342', '186', '7946', '929', '767', '7635', '1782', '9665', '5639', '4506', '2234', '10262', '5225', '175', '10206', '9993', '9662', '7070', '3347', '10619', '3871', '2039', '9006', '8921', '1734', '6013', '4208', '2817', '1248', '3058', '2084', '4281', '568', '7219', '2051', '7612', '3088', '3060', '6740', '10613', '3897', '7163', '6536', '626', '4697', '3192', '9498', '9971', '7454', '2525', '3725', '8920', '4951', '7723', '396', '8583', '7984', '4133', '807', '3745', '5740', '9106', '1411', '9721', '2353', '4370', '6281', '4839', '4214', '1917', '4444', '856', '3497', '2750', '5020', '8719', '4418', '2772', '7580', '7890', '4976', '6627']"
2,"[0.5463859438896179, 0.9181694388389587, 1.0, 0.42788952589035034, 0.5031667947769165, 0.7258056402206421, 0.4090155363082886, 0.42508023977279663, 0.7493988275527954, 1.0, 0.49262571334838867, 0.8059816360473633, 0.4077833294868469, 0.4533825218677521, 0.5123764276504517, 0.4359128177165985, 0.5125666856765747, 0.4521777033805847, 0.49457043409347534, 0.5327678918838501, 0.5071631669998169, 0.4930586814880371, 0.480217844247818, 0.5166299343109131, 0.5263325572013855, 0.9011138677597046, 0.612697422504425, 0.7501658797264099, 0.7788578271865845, 1.0, 0.529259204864502, 0.6459492444992065, 0.744929313659668, 0.5436194539070129, 0.4876725375652313, 0.43187373876571655, 0.4965301752090454, 0.4514499306678772, 0.655647873878479, 0.5327171087265015, 1.0, 0.578650712966919, 0.48344773054122925, 0.5330934524536133, 0.38843947649002075, 0.7187851667404175, 0.5135332345962524, 0.4742364287376404, 0.501629114151001, 0.4517475962638855, 0.5417733192443848, 0.4786629378795624, 0.4766020178794861, 0.9999998807907104, 0.784064531326294, 0.47516411542892456, 0.769500732421875, 0.8372931480407715, 0.44196057319641113, 0.5734952688217163, 0.49400830268859863, 0.5080398321151733, 0.9999999403953552, 0.5901450514793396, 0.77574622631073, 0.49751895666122437, 1.0, 0.8647471070289612, 0.7885400056838989, 1.0, 0.4740925431251526, 0.5731135606765747, 0.5308190584182739, 0.8333941102027893, 0.46909981966018677, 0.4950718879699707, 0.5642626881599426, 0.5176541805267334, 0.5618417263031006, 0.5568335056304932, 0.5202467441558838, 0.4812506437301636, 0.6008694767951965, 0.5314196348190308, 0.4796923100948334, 0.5204323530197144, 0.4565258026123047, 0.54120934009552, 0.53311687707901, 0.6660110950469971, 0.48747673630714417, 0.8180898427963257, 0.49759823083877563, 0.42037075757980347, 0.500804603099823, 0.511935293674469, 0.569378137588501, 0.47619444131851196, 0.545380711555481, 0.5290580987930298, 0.4715017080307007, 0.4975026845932007, 0.7297259569168091, 0.8562215566635132, 0.5889876484870911, 0.4272257387638092, 0.7153083086013794, 0.5313958525657654, 0.9563288688659668, 0.5302563905715942, 0.4312279522418976, 0.4708816409111023, 0.4898585081100464, 0.49067771434783936, 0.57484370470047, 0.5459290742874146, 0.4355647563934326, 0.4567245841026306, 0.5296721458435059, 0.5190467834472656, 0.8145617842674255, 0.6756755113601685, 0.9493751525878906, 0.7651446461677551, 0.5237921476364136, 0.6085648536682129, 0.6678394079208374, 0.4931483864784241, 0.4860273003578186, 0.47119683027267456, 0.5481656789779663, 0.47018373012542725, 1.0, 0.8608090877532959, 0.4676482379436493]","[0.5870181918144226, 0.9977985620498657, 1.0, 0.4455810785293579, 0.5698074698448181, 0.9065033197402954, 0.7228789329528809, 0.546995997428894, 0.9940164089202881, 1.0, 0.5437745451927185, 0.9619240164756775, 0.44914573431015015, 0.5618364810943604, 0.602177619934082, 0.5306109189987183, 0.7980045080184937, 0.5480949878692627, 0.6242785453796387, 0.5105869770050049, 0.55344557762146, 0.5358076095581055, 0.5814321637153625, 0.4991820752620697, 0.5837490558624268, 0.9973620772361755, 0.5655649900436401, 0.9918760657310486, 0.8285260200500488, 1.0, 0.5545612573623657, 0.5564773678779602, 0.9934705495834351, 0.7381274700164795, 0.5375953316688538, 0.48137688636779785, 0.5534940361976624, 0.4773126244544983, 0.9897041320800781, 0.620522141456604, 1.0, 0.6252160668373108, 0.5339789986610413, 0.5211560726165771, 0.5360141396522522, 0.9923651814460754, 0.5346724390983582, 0.5255247354507446, 0.5269668698310852, 0.6142964363098145, 0.5227661728858948, 0.5378210544586182, 0.5048999786376953, 0.9999998807907104, 0.9926486015319824, 0.5683040618896484, 0.9945117235183716, 0.9965375661849976, 0.5032513737678528, 0.6767479181289673, 0.6715793013572693, 0.5474590063095093, 0.9999999403953552, 0.5658590197563171, 0.9938828349113464, 0.5054942965507507, 1.0, 0.9960039854049683, 0.9930398464202881, 1.0, 0.5588021874427795, 0.570060670375824, 0.5792702436447144, 0.9960978627204895, 0.5039334297180176, 0.4849119186401367, 0.6303319334983826, 0.5277243852615356, 0.6281201839447021, 0.6695907115936279, 0.5916889309883118, 0.5208743214607239, 0.5841012597084045, 0.5439753532409668, 0.5229176878929138, 0.6030580997467041, 0.5373294949531555, 0.6969985365867615, 0.6262955665588379, 0.8060123920440674, 0.55982506275177, 0.9959213733673096, 0.49912363290786743, 0.4971207082271576, 0.494354784488678, 0.5354375839233398, 0.5215792655944824, 0.5459149479866028, 0.5124078989028931, 0.590620219707489, 0.5696896314620972, 0.5260646343231201, 0.9652650356292725, 0.9915437698364258, 0.6405031681060791, 0.5296802520751953, 0.9045794010162354, 0.6001231074333191, 0.9959673881530762, 0.44931861758232117, 0.574334979057312, 0.5153713226318359, 0.5343666672706604, 0.5776956081390381, 0.5972957611083984, 0.5335271954536438, 0.5843797922134399, 0.5469639301300049, 0.5408133268356323, 0.6895471811294556, 0.9956802725791931, 0.8426386117935181, 0.9960926175117493, 0.9924635887145996, 0.5336573123931885, 0.5731722116470337, 0.8236916661262512, 0.5671321749687195, 0.6175531148910522, 0.4781644940376282, 0.5963472723960876, 0.5238911509513855, 1.0, 0.9946807026863098, 0.5720968246459961]","['3750', '2925', '7693', '3061', '1445', '6961', '2067', '1936', '1120', '7735', '1186', '7372', '7338', '5440', '4989', '2666', '4014', '4557', '6770', '2327', '2756', '547', '3042', '4711', '7966', '8659', '9492', '814', '3782', '3182', '7123', '2248', '9100', '6184', '1905', '5901', '1376', '9983', '3877', '8173', '9930', '7247', '10657', '5006', '6520', '3847', '7198', '9576', '8973', '115', '1728', '2919', '9287', '8342', '186', '7946', '929', '767', '7635', '1782', '9665', '5639', '4506', '2234', '10262', '5225', '175', '10206', '9993', '9662', '7070', '3347', '10619', '3871', '2039', '9006', '8921', '1734', '6013', '4208', '2817', '1248', '3058', '2084', '4281', '568', '7219', '2051', '7612', '3088', '3060', '6740', '10613', '3897', '7163', '6536', '626', '4697', '3192', '9498', '9971', '7454', '2525', '3725', '8920', '4951', '7723', '396', '8583', '7984', '4133', '807', '3745', '5740', '9106', '1411', '9721', '2353', '4370', '6281', '4839', '4214', '1917', '4444', '856', '3497', '2750', '5020', '8719', '4418', '2772', '7580', '7890', '4976', '6627']"
3,"[0.567254900932312, 0.926308810710907, 1.0, 0.4553247094154358, 0.5158697366714478, 0.7361376285552979, 0.4388991892337799, 0.4492710828781128, 0.7648622393608093, 1.0, 0.5146478414535522, 0.8150600790977478, 0.439594566822052, 0.49217653274536133, 0.5402259826660156, 0.4683050811290741, 0.5520403385162354, 0.48962312936782837, 0.5276947617530823, 0.5521571636199951, 0.5390843749046326, 0.5221560001373291, 0.5103104114532471, 0.5411207675933838, 0.542888343334198, 0.9077215194702148, 0.613329291343689, 0.7558210492134094, 0.7915949821472168, 1.0, 0.5421132445335388, 0.6454249620437622, 0.7578326463699341, 0.5671436786651611, 0.5222254991531372, 0.4584767818450928, 0.512115478515625, 0.4790867567062378, 0.671079158782959, 0.5559754967689514, 1.0, 0.5908442735671997, 0.518576979637146, 0.547701358795166, 0.4220060110092163, 0.7292265892028809, 0.5384760499000549, 0.5116825699806213, 0.5133240222930908, 0.48914822936058044, 0.5452641844749451, 0.49656981229782104, 0.4987722635269165, 0.9999999403953552, 0.7880423069000244, 0.4974710941314697, 0.786091685295105, 0.8457239866256714, 0.4634929299354553, 0.5933699607849121, 0.5227476358413696, 0.5342723727226257, 1.0, 0.6008118391036987, 0.7813304662704468, 0.5260199904441833, 1.0, 0.8735340237617493, 0.7945506572723389, 0.9999998807907104, 0.4898339807987213, 0.5951030254364014, 0.5407547950744629, 0.8392816185951233, 0.502918004989624, 0.5061181783676147, 0.5740276575088501, 0.546568751335144, 0.5815081596374512, 0.5851849913597107, 0.5365043878555298, 0.506865382194519, 0.6280776262283325, 0.55609130859375, 0.5142937898635864, 0.5393202900886536, 0.4819788932800293, 0.5650514364242554, 0.5515038967132568, 0.679013192653656, 0.5020437240600586, 0.8341549038887024, 0.524307131767273, 0.45574796199798584, 0.5287314057350159, 0.5417039394378662, 0.5797526240348816, 0.5031237006187439, 0.5619738698005676, 0.5392160415649414, 0.4878530204296112, 0.5231850743293762, 0.7406235933303833, 0.8590385913848877, 0.6091642379760742, 0.46057429909706116, 0.7282789945602417, 0.5540175437927246, 0.9556618332862854, 0.5351743102073669, 0.46244463324546814, 0.4957403540611267, 0.5119261145591736, 0.5073561072349548, 0.6019128561019897, 0.5661331415176392, 0.46790483593940735, 0.47134125232696533, 0.5489524602890015, 0.5577750205993652, 0.828850269317627, 0.6898638010025024, 0.9514296054840088, 0.776315450668335, 0.5404263734817505, 0.6194151639938354, 0.6865013837814331, 0.5221327543258667, 0.5141415596008301, 0.4984727203845978, 0.5685471892356873, 0.49765074253082275, 0.9999998807907104, 0.8678754568099976, 0.4925173819065094]","[0.607880175113678, 0.9967823028564453, 1.0, 0.5010541677474976, 0.5868017673492432, 0.9089440107345581, 0.7190403938293457, 0.5606749653816223, 0.9902332425117493, 1.0, 0.5620088577270508, 0.9606477618217468, 0.4773018956184387, 0.582197904586792, 0.6170865297317505, 0.5712453126907349, 0.800900399684906, 0.5948541164398193, 0.6403626799583435, 0.5227513313293457, 0.5739782452583313, 0.5718882083892822, 0.605743408203125, 0.5281823873519897, 0.5941747426986694, 0.9953791499137878, 0.5741723775863647, 0.987945556640625, 0.8414286375045776, 1.0, 0.5650074481964111, 0.5701470375061035, 0.9894553422927856, 0.7572237253189087, 0.5775717496871948, 0.5161115527153015, 0.559040904045105, 0.5072561502456665, 0.9836859703063965, 0.6325335502624512, 1.0, 0.6294357776641846, 0.5545457601547241, 0.5434790253639221, 0.5741149187088013, 0.9851466417312622, 0.5601543188095093, 0.544122576713562, 0.5361866354942322, 0.6411572098731995, 0.5398176908493042, 0.5581614971160889, 0.5331847071647644, 0.9999999403953552, 0.9856281876564026, 0.5796114206314087, 0.9911849498748779, 0.9933377504348755, 0.5287076234817505, 0.6965308785438538, 0.6618631482124329, 0.569380521774292, 1.0, 0.5835151672363281, 0.9894161224365234, 0.5410394668579102, 1.0, 0.9940289258956909, 0.9882789254188538, 0.9999998807907104, 0.5754205584526062, 0.5953946113586426, 0.582935631275177, 0.9933318495750427, 0.5469273328781128, 0.49660724401474, 0.6434071063995361, 0.5465399026870728, 0.6464884281158447, 0.6957038044929504, 0.6015750765800476, 0.544413685798645, 0.6077480316162109, 0.5637744069099426, 0.5703474879264832, 0.6133848428726196, 0.5638667345046997, 0.713101327419281, 0.6414729356765747, 0.8076055645942688, 0.575946569442749, 0.9932574033737183, 0.5206353664398193, 0.5250424146652222, 0.5301729440689087, 0.5559983849525452, 0.5503101348876953, 0.564160943031311, 0.54013592004776, 0.6128098964691162, 0.5729883313179016, 0.551612377166748, 0.960182249546051, 0.9866334795951843, 0.6615285873413086, 0.5532373785972595, 0.9133127927780151, 0.6203577518463135, 0.9937443733215332, 0.4940846562385559, 0.5779358148574829, 0.5477232336997986, 0.5510693788528442, 0.5850102305412292, 0.6218245625495911, 0.5545446872711182, 0.5976340770721436, 0.5601361989974976, 0.5594522953033447, 0.69901442527771, 0.9923951625823975, 0.8389793634414673, 0.9945793151855469, 0.9875704050064087, 0.5638320446014404, 0.581791877746582, 0.8265708684921265, 0.6037665605545044, 0.6375290751457214, 0.5063261389732361, 0.6237649917602539, 0.5490551590919495, 0.9999998807907104, 0.99109947681427, 0.5865277647972107]","['3750', '2925', '7693', '3061', '1445', '6961', '2067', '1936', '1120', '7735', '1186', '7372', '7338', '5440', '4989', '2666', '4014', '4557', '6770', '2327', '2756', '547', '3042', '4711', '7966', '8659', '9492', '814', '3782', '3182', '7123', '2248', '9100', '6184', '1905', '5901', '1376', '9983', '3877', '8173', '9930', '7247', '10657', '5006', '6520', '3847', '7198', '9576', '8973', '115', '1728', '2919', '9287', '8342', '186', '7946', '929', '767', '7635', '1782', '9665', '5639', '4506', '2234', '10262', '5225', '175', '10206', '9993', '9662', '7070', '3347', '10619', '3871', '2039', '9006', '8921', '1734', '6013', '4208', '2817', '1248', '3058', '2084', '4281', '568', '7219', '2051', '7612', '3088', '3060', '6740', '10613', '3897', '7163', '6536', '626', '4697', '3192', '9498', '9971', '7454', '2525', '3725', '8920', '4951', '7723', '396', '8583', '7984', '4133', '807', '3745', '5740', '9106', '1411', '9721', '2353', '4370', '6281', '4839', '4214', '1917', '4444', '856', '3497', '2750', '5020', '8719', '4418', '2772', '7580', '7890', '4976', '6627']"
4,"[0.5968056321144104, 0.9295405149459839, 1.0, 0.4853355288505554, 0.5409382581710815, 0.7564085721969604, 0.46702009439468384, 0.47985178232192993, 0.7707917094230652, 0.9999999403953552, 0.5473785400390625, 0.8268468379974365, 0.4698920249938965, 0.5217814445495605, 0.567112922668457, 0.49487167596817017, 0.5832798480987549, 0.5213311910629272, 0.5623457431793213, 0.5811614990234375, 0.5708575248718262, 0.5561094284057617, 0.5384697914123535, 0.5748223066329956, 0.5695347785949707, 0.9144194722175598, 0.6390683650970459, 0.7672792673110962, 0.8041726350784302, 0.9999998807907104, 0.5737680792808533, 0.661070704460144, 0.7704845070838928, 0.5969561338424683, 0.5509470701217651, 0.4927566647529602, 0.5418750047683716, 0.5098243355751038, 0.6925665736198425, 0.5880022048950195, 1.0, 0.6060768365859985, 0.5523577332496643, 0.5734305381774902, 0.45243269205093384, 0.734836220741272, 0.5773146152496338, 0.5487655401229858, 0.542186975479126, 0.5229775905609131, 0.5760785937309265, 0.5302651524543762, 0.5238255262374878, 1.0, 0.7868126630783081, 0.5287740230560303, 0.8050051927566528, 0.8514783978462219, 0.49895092844963074, 0.6188842058181763, 0.5555684566497803, 0.5644826889038086, 1.0, 0.6210201382637024, 0.7907723188400269, 0.5521177053451538, 1.0, 0.8803452253341675, 0.8014236688613892, 1.0, 0.5182233452796936, 0.6236649751663208, 0.5574533939361572, 0.8468708992004395, 0.5386762619018555, 0.5354043841362, 0.599115252494812, 0.5794578790664673, 0.6052336096763611, 0.619491696357727, 0.5632473230361938, 0.541254997253418, 0.6526695489883423, 0.595409631729126, 0.5588239431381226, 0.5735082626342773, 0.5190035700798035, 0.5936170816421509, 0.5734591484069824, 0.6967835426330566, 0.5255084037780762, 0.8427191972732544, 0.5608260631561279, 0.4910869598388672, 0.5657609701156616, 0.580867350101471, 0.5984575748443604, 0.541226863861084, 0.5969092845916748, 0.5648747682571411, 0.5198644399642944, 0.5560007691383362, 0.7550784945487976, 0.8576476573944092, 0.6349328756332397, 0.49087995290756226, 0.7430412173271179, 0.5820101499557495, 0.9561076164245605, 0.563554048538208, 0.49849385023117065, 0.5351106524467468, 0.5480425357818604, 0.5439550280570984, 0.6329439878463745, 0.5990192890167236, 0.4966142773628235, 0.49839574098587036, 0.5777990818023682, 0.5927928686141968, 0.8390147686004639, 0.7073383331298828, 0.9525672793388367, 0.7831999063491821, 0.5674772262573242, 0.6415992975234985, 0.7077120542526245, 0.552956223487854, 0.5529098510742188, 0.5428354740142822, 0.6056163907051086, 0.5352107286453247, 1.0, 0.8744661808013916, 0.509444534778595]","[0.631864070892334, 0.9957950115203857, 1.0, 0.5245401859283447, 0.6248494386672974, 0.9084700345993042, 0.7349828481674194, 0.575314462184906, 0.9837966561317444, 0.9999999403953552, 0.5872761011123657, 0.9615346193313599, 0.5103529691696167, 0.6093900203704834, 0.6429833173751831, 0.5958526134490967, 0.8174718022346497, 0.6222132444381714, 0.6646239161491394, 0.5572787523269653, 0.6062359809875488, 0.6113818287849426, 0.6222097873687744, 0.5653156042098999, 0.6197293996810913, 0.9941422343254089, 0.6033265590667725, 0.9829562902450562, 0.846031665802002, 0.9999998807907104, 0.5914925336837769, 0.5872603058815002, 0.984761118888855, 0.7793627381324768, 0.6079744100570679, 0.545502781867981, 0.5900475978851318, 0.5333917140960693, 0.9799430966377258, 0.6568342447280884, 1.0, 0.6436095237731934, 0.584140419960022, 0.5765838623046875, 0.6005219221115112, 0.9793742895126343, 0.5981117486953735, 0.5745105743408203, 0.5583376884460449, 0.665454626083374, 0.564694344997406, 0.5882296562194824, 0.5557329058647156, 1.0, 0.9753193259239197, 0.6027727127075195, 0.987327516078949, 0.9891711473464966, 0.5492244958877563, 0.719464898109436, 0.6755822896957397, 0.6077240705490112, 1.0, 0.6179922223091125, 0.9851723909378052, 0.5737137198448181, 1.0, 0.992080569267273, 0.9844365119934082, 1.0, 0.5909757614135742, 0.6253904700279236, 0.602174699306488, 0.9907571077346802, 0.5931730270385742, 0.5313299894332886, 0.664661169052124, 0.5811083316802979, 0.6730011701583862, 0.7170685529708862, 0.6250932216644287, 0.5776787996292114, 0.636658251285553, 0.6088404655456543, 0.6148070096969604, 0.6464455723762512, 0.5938921570777893, 0.7304036617279053, 0.6596636772155762, 0.8054633140563965, 0.5959417819976807, 0.9891273379325867, 0.556396484375, 0.5550019145011902, 0.5711550712585449, 0.5918053984642029, 0.5843731164932251, 0.599494457244873, 0.5778508186340332, 0.6443730592727661, 0.6011276245117188, 0.5876038074493408, 0.9607235193252563, 0.9810979962348938, 0.6869515180587769, 0.5851793885231018, 0.9114617109298706, 0.6435641050338745, 0.9919556379318237, 0.5339179635047913, 0.598052978515625, 0.5825506448745728, 0.5861402153968811, 0.6102290153503418, 0.6542925834655762, 0.5925414562225342, 0.6195425987243652, 0.5816694498062134, 0.5829172730445862, 0.7106760740280151, 0.9887421727180481, 0.8419816493988037, 0.9933474063873291, 0.9809820652008057, 0.5862430930137634, 0.5987309217453003, 0.8330645561218262, 0.6376954913139343, 0.6706680059432983, 0.5508424043655396, 0.6621136665344238, 0.5785757899284363, 1.0, 0.9878047108650208, 0.6037987470626831]","['3750', '2925', '7693', '3061', '1445', '6961', '2067', '1936', '1120', '7735', '1186', '7372', '7338', '5440', '4989', '2666', '4014', '4557', '6770', '2327', '2756', '547', '3042', '4711', '7966', '8659', '9492', '814', '3782', '3182', '7123', '2248', '9100', '6184', '1905', '5901', '1376', '9983', '3877', '8173', '9930', '7247', '10657', '5006', '6520', '3847', '7198', '9576', '8973', '115', '1728', '2919', '9287', '8342', '186', '7946', '929', '767', '7635', '1782', '9665', '5639', '4506', '2234', '10262', '5225', '175', '10206', '9993', '9662', '7070', '3347', '10619', '3871', '2039', '9006', '8921', '1734', '6013', '4208', '2817', '1248', '3058', '2084', '4281', '568', '7219', '2051', '7612', '3088', '3060', '6740', '10613', '3897', '7163', '6536', '626', '4697', '3192', '9498', '9971', '7454', '2525', '3725', '8920', '4951', '7723', '396', '8583', '7984', '4133', '807', '3745', '5740', '9106', '1411', '9721', '2353', '4370', '6281', '4839', '4214', '1917', '4444', '856', '3497', '2750', '5020', '8719', '4418', '2772', '7580', '7890', '4976', '6627']"
