layer,precision,recall
1,"[0.3927094340324402, 0.6534817218780518, 0.6424667835235596, 0.6056153178215027, 0.5937982797622681, 0.6436442136764526, 0.6483809947967529, 0.641810417175293, 0.6486558318138123, 0.43307068943977356, 0.4042211174964905, 0.5360282063484192, 0.46454668045043945, 0.6430946588516235, 0.44749003648757935, 0.684200644493103, 0.4773537516593933, 0.5709598064422607, 0.6596848964691162, 0.609417200088501, 0.6163649559020996, 0.6058022379875183, 0.45130616426467896, 0.5418866872787476, 0.8499163389205933, 0.939443826675415, 0.4880742132663727, 0.7212263941764832, 0.652521014213562, 0.5741426944732666, 0.6829983592033386, 0.44486695528030396, 0.833537220954895, 0.6892992258071899, 0.5855043530464172, 0.7542280554771423, 0.7107025384902954, 0.5012946128845215, 0.5620951056480408, 0.6571290493011475, 0.7349337339401245, 0.531222403049469, 0.5885833501815796, 0.6051604747772217, 0.6649013757705688, 0.6220654845237732, 0.6547098755836487, 0.8910181522369385, 0.8026881814002991, 0.891798734664917, 0.5899566411972046, 0.4334016442298889, 0.7830507755279541, 0.5880566239356995, 0.7681335210800171, 0.5554150342941284, 0.5955219864845276, 0.5642222166061401, 0.8429116010665894, 0.6106802225112915, 0.633134663105011, 0.5109348893165588, 0.5076051950454712, 0.5346994400024414, 0.46388426423072815, 0.5390962958335876, 0.6220742464065552, 0.5236074924468994, 0.7469357252120972, 0.583710789680481, 0.5992763042449951, 0.43902555108070374, 0.485350102186203, 0.575176477432251, 0.520055890083313, 0.47443729639053345, 0.6424891352653503, 0.7280579805374146, 0.6454830169677734, 0.6850022077560425, 0.6524494886398315, 0.49232402443885803, 0.7423120737075806, 0.6882579326629639, 0.5553715229034424, 0.672121524810791, 0.5130900144577026, 0.6018580198287964, 0.5609705448150635, 0.7145628333091736, 0.6189866065979004, 0.6847219467163086, 0.577858030796051, 0.7468854784965515, 0.7214490175247192, 0.5022236108779907, 0.6633691191673279, 0.625066876411438, 0.48608699440956116, 0.7473246455192566, 0.5617461204528809, 0.6494992971420288, 0.4267733097076416, 0.5776526927947998, 0.7659344673156738, 0.5454145073890686, 0.7378308176994324, 0.5930660367012024, 0.47748878598213196, 0.7789313793182373, 0.5988051891326904, 0.8282378315925598, 0.5446454286575317, 0.6958199739456177, 0.6395266056060791, 0.5093532800674438, 0.6624928712844849, 0.5810582637786865, 0.47376900911331177, 0.6076045036315918, 0.487091600894928, 0.5172638297080994, 0.7297177314758301, 0.45287591218948364, 0.6318274736404419, 0.5773192644119263, 0.7781147956848145, 0.8277568221092224, 0.7819269895553589, 0.6062682867050171, 0.6677205562591553, 0.5062536001205444, 0.49950510263442993, 0.5228745937347412, 0.6420952081680298]","[0.44077268242836, 0.7143377661705017, 0.6035196781158447, 0.5143330097198486, 0.6349992752075195, 0.6569229364395142, 0.7304816246032715, 0.6871914267539978, 0.6355606317520142, 0.47194644808769226, 0.4588608145713806, 0.6051491498947144, 0.5498529672622681, 0.7182904481887817, 0.44350534677505493, 0.6667382121086121, 0.5894782543182373, 0.5275081396102905, 0.6677703261375427, 0.5764232873916626, 0.6387077569961548, 0.6242752075195312, 0.4053778052330017, 0.5736417770385742, 0.8332493305206299, 0.9742009043693542, 0.49957942962646484, 0.8009920120239258, 0.625717282295227, 0.6185818910598755, 0.6971742510795593, 0.5229223370552063, 0.75721275806427, 0.6248096227645874, 0.6929190754890442, 0.7814978361129761, 0.7187055945396423, 0.5152628421783447, 0.6295334100723267, 0.6519386768341064, 0.6767988801002502, 0.5107197761535645, 0.6646010875701904, 0.7794418334960938, 0.6265512704849243, 0.6704306602478027, 0.8239848017692566, 0.8677736520767212, 0.8148956894874573, 0.8377007842063904, 0.5998992919921875, 0.43460679054260254, 0.7864625453948975, 0.691256046295166, 0.760918378829956, 0.6216320991516113, 0.6427643299102783, 0.6592336893081665, 0.7393126487731934, 0.5962537527084351, 0.6759307384490967, 0.5474430918693542, 0.4910302758216858, 0.5836525559425354, 0.5577629804611206, 0.5627059936523438, 0.8002403974533081, 0.5944613218307495, 0.7616022229194641, 0.6022226810455322, 0.5496025085449219, 0.3998277187347412, 0.5095338821411133, 0.5890817046165466, 0.6169747710227966, 0.46807873249053955, 0.6105239391326904, 0.5788434743881226, 0.7439159750938416, 0.6567976474761963, 0.6030431389808655, 0.5225403904914856, 0.8522918820381165, 0.7322892546653748, 0.4799083471298218, 0.6694880127906799, 0.5289397239685059, 0.5500324368476868, 0.8146411776542664, 0.6007729768753052, 0.6948585510253906, 0.767615795135498, 0.47631409764289856, 0.840523362159729, 0.7785628437995911, 0.4941704571247101, 0.6376878023147583, 0.6860012412071228, 0.5595825910568237, 0.8203033804893494, 0.6948195695877075, 0.6911698579788208, 0.44356873631477356, 0.6854609251022339, 0.7037333846092224, 0.5002803802490234, 0.8490222096443176, 0.7652369141578674, 0.6077446937561035, 0.7867659330368042, 0.6402907967567444, 0.815337598323822, 0.5330708026885986, 0.7390061020851135, 0.7385320663452148, 0.6619358658790588, 0.6946589946746826, 0.6352403163909912, 0.45580989122390747, 0.6697842478752136, 0.4604911804199219, 0.5565339922904968, 0.7209106683731079, 0.49218690395355225, 0.5754719972610474, 0.5630608797073364, 0.8625780344009399, 0.7536298036575317, 0.7567110061645508, 0.634333074092865, 0.7133673429489136, 0.5718010067939758, 0.5076989531517029, 0.47533684968948364, 0.6067309379577637]"
2,"[0.4657825827598572, 0.6953177452087402, 0.6860885620117188, 0.6464307308197021, 0.637816309928894, 0.6841314435005188, 0.6861059665679932, 0.6871548891067505, 0.6915185451507568, 0.494456022977829, 0.47191500663757324, 0.5922054052352905, 0.5300076007843018, 0.679705798625946, 0.511893630027771, 0.7242957949638367, 0.542639434337616, 0.62465900182724, 0.6925084590911865, 0.6569348573684692, 0.6619851589202881, 0.6562261581420898, 0.5233047008514404, 0.5970628261566162, 0.8654879331588745, 0.9429709315299988, 0.5490005612373352, 0.7583245038986206, 0.6920225620269775, 0.619895339012146, 0.7149651050567627, 0.5050695538520813, 0.8546475172042847, 0.7284698486328125, 0.6370117664337158, 0.7864577770233154, 0.7416443824768066, 0.5651417374610901, 0.6144793033599854, 0.6941009163856506, 0.7676945924758911, 0.5906810164451599, 0.6354399919509888, 0.6533780097961426, 0.7000542879104614, 0.6687621474266052, 0.7027475833892822, 0.9023095965385437, 0.826017439365387, 0.9097411632537842, 0.6360759139060974, 0.4989786446094513, 0.8102591633796692, 0.6323875188827515, 0.7930597066879272, 0.6075494885444641, 0.6438696384429932, 0.6218404173851013, 0.8627851009368896, 0.6450372934341431, 0.667506217956543, 0.569517970085144, 0.5649195313453674, 0.5929383635520935, 0.5309869647026062, 0.5944958329200745, 0.6638229489326477, 0.5740540027618408, 0.7744332551956177, 0.6367287039756775, 0.646597146987915, 0.5060275793075562, 0.5446993708610535, 0.6312118768692017, 0.5746214985847473, 0.54433274269104, 0.6897224187850952, 0.7649143934249878, 0.6961245536804199, 0.7240723967552185, 0.7003101110458374, 0.5518922805786133, 0.7742558121681213, 0.7249852418899536, 0.5988278985023499, 0.7084752321243286, 0.5710148811340332, 0.6535181999206543, 0.6209213137626648, 0.7525211572647095, 0.6581133604049683, 0.719452977180481, 0.618894100189209, 0.7743333578109741, 0.7581461668014526, 0.5629400014877319, 0.7054752111434937, 0.6735938191413879, 0.5501248836517334, 0.7777824401855469, 0.6151844263076782, 0.6901707053184509, 0.4998840391635895, 0.6302657127380371, 0.7910404205322266, 0.6010037660598755, 0.7686458826065063, 0.6466925144195557, 0.5562469959259033, 0.8002731800079346, 0.6435741782188416, 0.8482646942138672, 0.5950058698654175, 0.7308750748634338, 0.6815807819366455, 0.5635226964950562, 0.7009706497192383, 0.6318028569221497, 0.5404801964759827, 0.6508876085281372, 0.5399821400642395, 0.5786411166191101, 0.7642641663551331, 0.5250756144523621, 0.6682881712913513, 0.6219901442527771, 0.8053296804428101, 0.848503589630127, 0.807604193687439, 0.6493852138519287, 0.7030166387557983, 0.5682471990585327, 0.5630178451538086, 0.571609377861023, 0.6837387681007385]","[0.5064747333526611, 0.7433788776397705, 0.6489418148994446, 0.5793261528015137, 0.6781609058380127, 0.6935170888900757, 0.75675368309021, 0.7209450006484985, 0.6783187389373779, 0.529331386089325, 0.525912880897522, 0.6543948650360107, 0.6009762287139893, 0.7432782053947449, 0.5080601572990417, 0.7050419449806213, 0.6411659717559814, 0.5794330835342407, 0.7056565284729004, 0.6331433057785034, 0.6972832083702087, 0.6655874252319336, 0.4767475128173828, 0.6238323450088501, 0.8530112504959106, 0.9762395620346069, 0.5596386790275574, 0.8222330808639526, 0.6649712324142456, 0.6648789048194885, 0.7299193143844604, 0.5699024796485901, 0.7858580350875854, 0.6727213859558105, 0.722639262676239, 0.8125797510147095, 0.7552213072776794, 0.5751650333404541, 0.6674383282661438, 0.6928832530975342, 0.714344322681427, 0.5703779458999634, 0.7069758176803589, 0.8120095729827881, 0.6717427372932434, 0.7075080871582031, 0.8478308320045471, 0.8862218856811523, 0.8365429639816284, 0.8563116788864136, 0.6385866403579712, 0.5038304328918457, 0.8115398287773132, 0.7225013375282288, 0.7901624441146851, 0.6597110629081726, 0.6778178215026855, 0.6946812272071838, 0.7733686566352844, 0.629953145980835, 0.7009878158569336, 0.6034968495368958, 0.5502579808235168, 0.6298907995223999, 0.6114534139633179, 0.6143038272857666, 0.8179733157157898, 0.6347310543060303, 0.7887457609176636, 0.6510751247406006, 0.610115110874176, 0.46279191970825195, 0.5671103596687317, 0.6349650621414185, 0.6562908291816711, 0.5261111259460449, 0.6584750413894653, 0.6361883282661438, 0.778501570224762, 0.7001561522483826, 0.651540994644165, 0.5770606994628906, 0.8681008815765381, 0.7689511179924011, 0.5397201776504517, 0.7034293413162231, 0.5812518000602722, 0.6026014089584351, 0.8311910629272461, 0.6579536199569702, 0.7290387153625488, 0.7959377765655518, 0.5396586060523987, 0.8536405563354492, 0.8010648488998413, 0.5583009123802185, 0.6731505990028381, 0.7227136492729187, 0.6071401834487915, 0.8419493436813354, 0.7284775972366333, 0.7311567664146423, 0.5101375579833984, 0.7239513397216797, 0.7353326082229614, 0.5639166831970215, 0.866278886795044, 0.7865572571754456, 0.6606612205505371, 0.8016213178634644, 0.6827837228775024, 0.8348807096481323, 0.5861569046974182, 0.7671995162963867, 0.7710446119308472, 0.6994813680648804, 0.7223327159881592, 0.6748820543289185, 0.5172082185745239, 0.7148162126541138, 0.5103148818016052, 0.6092619895935059, 0.7478104829788208, 0.5517383217811584, 0.6265044212341309, 0.6191699504852295, 0.8772152662277222, 0.7797978520393372, 0.7867901921272278, 0.6747274398803711, 0.7479524612426758, 0.6105713844299316, 0.5615653991699219, 0.5348309278488159, 0.6515114903450012]"
3,"[0.5060959458351135, 0.7191197872161865, 0.7009345889091492, 0.6828693747520447, 0.6746457815170288, 0.7032086849212646, 0.7168437242507935, 0.7132638096809387, 0.7141822576522827, 0.5372034907341003, 0.5303007960319519, 0.6287270784378052, 0.5587122440338135, 0.7012952566146851, 0.5452470779418945, 0.7378541231155396, 0.5789395570755005, 0.6551843881607056, 0.7054126262664795, 0.6807242035865784, 0.6896197199821472, 0.6757468581199646, 0.572918713092804, 0.6337734460830688, 0.8687305450439453, 0.94388747215271, 0.5858567357063293, 0.7791861891746521, 0.7048180103302002, 0.654321551322937, 0.7387409210205078, 0.5401487350463867, 0.8607356548309326, 0.7424116134643555, 0.6745387315750122, 0.8052201271057129, 0.7558770775794983, 0.6058509349822998, 0.6511395573616028, 0.7201591730117798, 0.7838640213012695, 0.6194098591804504, 0.6670700907707214, 0.6868391633033752, 0.7099618911743164, 0.6956436038017273, 0.7309805154800415, 0.9011269807815552, 0.8381079435348511, 0.9101603031158447, 0.6555207967758179, 0.5415414571762085, 0.8204138875007629, 0.6575199365615845, 0.8021522760391235, 0.6432612538337708, 0.6693428754806519, 0.6513762474060059, 0.8700794577598572, 0.6590125560760498, 0.6919311881065369, 0.6038305163383484, 0.5995742678642273, 0.6251527070999146, 0.5677614212036133, 0.6311517357826233, 0.6910877823829651, 0.6010172367095947, 0.7905384302139282, 0.6577658653259277, 0.6720892190933228, 0.5373644828796387, 0.5864040851593018, 0.6555802226066589, 0.6121106147766113, 0.5718865990638733, 0.7128391861915588, 0.7791162729263306, 0.7183286547660828, 0.7449648380279541, 0.7173494696617126, 0.5922623872756958, 0.7945072650909424, 0.746082067489624, 0.6273069381713867, 0.7266162633895874, 0.6018834114074707, 0.6726574301719666, 0.6454957723617554, 0.76516193151474, 0.6779642105102539, 0.7437740564346313, 0.6467821598052979, 0.7887404561042786, 0.7686868906021118, 0.6029725074768066, 0.724229097366333, 0.6804760694503784, 0.5840511918067932, 0.7948044538497925, 0.6468356847763062, 0.7121170163154602, 0.5340157151222229, 0.660624086856842, 0.8021583557128906, 0.629144549369812, 0.7840078473091125, 0.6652750372886658, 0.6030170917510986, 0.8141970634460449, 0.6705254912376404, 0.8540270328521729, 0.6362452507019043, 0.7378667593002319, 0.719691276550293, 0.5980186462402344, 0.718520998954773, 0.6635563373565674, 0.5898514986038208, 0.6803123950958252, 0.5724913477897644, 0.6113863587379456, 0.7752517461776733, 0.569394588470459, 0.6870647668838501, 0.6493016481399536, 0.8188092112541199, 0.8648295402526855, 0.8225641250610352, 0.6698013544082642, 0.7192449569702148, 0.5989693403244019, 0.593321681022644, 0.599868655204773, 0.7025842666625977]","[0.5484267473220825, 0.75993812084198, 0.6773273944854736, 0.6125915050506592, 0.7048213481903076, 0.7125309705734253, 0.765964150428772, 0.7428053617477417, 0.7041525840759277, 0.5671945810317993, 0.5739455819129944, 0.6871883869171143, 0.6279895901679993, 0.7585099935531616, 0.5536903142929077, 0.7285895347595215, 0.670967698097229, 0.6115971803665161, 0.7211912274360657, 0.6556485891342163, 0.7147388458251953, 0.6837484240531921, 0.5267778635025024, 0.6540314555168152, 0.861419141292572, 0.9755874276161194, 0.5933507680892944, 0.8336032032966614, 0.6839386224746704, 0.6893101930618286, 0.7527385950088501, 0.5985303521156311, 0.7954534292221069, 0.6987271308898926, 0.7480967044830322, 0.8291672468185425, 0.7653931379318237, 0.6077765822410583, 0.7015774846076965, 0.7161694765090942, 0.734016478061676, 0.6080285310745239, 0.7275937795639038, 0.8314225077629089, 0.694242000579834, 0.7233861088752747, 0.8640121817588806, 0.8915157318115234, 0.8427822589874268, 0.8644977807998657, 0.6487599611282349, 0.5445003509521484, 0.824455976486206, 0.739143431186676, 0.8047786951065063, 0.6835473775863647, 0.6972026824951172, 0.7167547941207886, 0.7896337509155273, 0.6434860229492188, 0.7154866456985474, 0.6346599459648132, 0.5885714292526245, 0.6566435098648071, 0.6389663815498352, 0.6497265696525574, 0.8271509408950806, 0.6598145961761475, 0.8012641668319702, 0.674089789390564, 0.6387314796447754, 0.5155223608016968, 0.6106414794921875, 0.6582090854644775, 0.685828447341919, 0.558597207069397, 0.6875089406967163, 0.6615417003631592, 0.7932945489883423, 0.7200683355331421, 0.6816178560256958, 0.6122305393218994, 0.8761790990829468, 0.7842692732810974, 0.5755637288093567, 0.7235329151153564, 0.6173993945121765, 0.6351643800735474, 0.8288298845291138, 0.6813411712646484, 0.7487053871154785, 0.8074372410774231, 0.575218141078949, 0.8569036722183228, 0.8142259120941162, 0.6035761833190918, 0.6962931156158447, 0.7423512935638428, 0.6314850449562073, 0.8571279048919678, 0.7497159838676453, 0.7447733879089355, 0.5414465069770813, 0.7495940327644348, 0.7476365566253662, 0.6022021770477295, 0.8787466287612915, 0.7979954481124878, 0.6949280500411987, 0.8128424882888794, 0.7032871246337891, 0.8382169008255005, 0.6216110587120056, 0.7759507298469543, 0.7998883724212646, 0.7114822268486023, 0.7341989874839783, 0.7070087194442749, 0.5718313455581665, 0.7338858246803284, 0.5464045405387878, 0.642217218875885, 0.7571470737457275, 0.5932424068450928, 0.6544986963272095, 0.647108793258667, 0.8839513063430786, 0.795782208442688, 0.7991781234741211, 0.691977858543396, 0.7553786039352417, 0.6364859938621521, 0.5944972038269043, 0.5684988498687744, 0.6793210506439209]"
4,"[0.5377988815307617, 0.7384849190711975, 0.7098459005355835, 0.7148760557174683, 0.7067521810531616, 0.7244281768798828, 0.7352544665336609, 0.727462887763977, 0.7346042990684509, 0.5700417757034302, 0.5656528472900391, 0.6504634022712708, 0.595002293586731, 0.7161726951599121, 0.5810843110084534, 0.7489901185035706, 0.6014039516448975, 0.6750301718711853, 0.7283517122268677, 0.703129231929779, 0.7114485502243042, 0.6937288641929626, 0.6065855026245117, 0.655768096446991, 0.8685781955718994, 0.9419559836387634, 0.618739128112793, 0.7880080938339233, 0.7171202898025513, 0.6844422817230225, 0.7598456144332886, 0.5724079608917236, 0.8672729730606079, 0.7581214904785156, 0.702925443649292, 0.8166425228118896, 0.7695178985595703, 0.6333386898040771, 0.6775698065757751, 0.7464406490325928, 0.7954325675964355, 0.6415795087814331, 0.6875209808349609, 0.7120000123977661, 0.715826153755188, 0.7191789150238037, 0.7523612976074219, 0.9065948128700256, 0.8410489559173584, 0.9085993766784668, 0.6741932034492493, 0.5796346664428711, 0.8253008723258972, 0.6834726929664612, 0.8109305500984192, 0.6735149621963501, 0.6891839504241943, 0.6779560446739197, 0.8805462121963501, 0.6756240129470825, 0.7157433032989502, 0.6150275468826294, 0.6210590600967407, 0.651396632194519, 0.6035827398300171, 0.6544234752655029, 0.707477331161499, 0.6300368905067444, 0.8076880574226379, 0.6790822148323059, 0.7012031078338623, 0.5727334022521973, 0.6156993508338928, 0.6850899457931519, 0.6432554721832275, 0.6017793416976929, 0.7301708459854126, 0.7897779941558838, 0.7455497980117798, 0.7672919034957886, 0.7265242338180542, 0.6206413507461548, 0.80599045753479, 0.7650781869888306, 0.6595278978347778, 0.7449442148208618, 0.627993643283844, 0.6919671297073364, 0.6640256643295288, 0.7713726162910461, 0.7012017369270325, 0.7635207176208496, 0.675540566444397, 0.7948753833770752, 0.77818763256073, 0.6373023986816406, 0.7364627122879028, 0.6996060609817505, 0.6119275689125061, 0.8033967018127441, 0.6752053499221802, 0.7342320680618286, 0.5665985941886902, 0.6776026487350464, 0.813985288143158, 0.6477134227752686, 0.8020369410514832, 0.6802304983139038, 0.6420074701309204, 0.8255574703216553, 0.6876347064971924, 0.8553815484046936, 0.6688623428344727, 0.7468738555908203, 0.754088282585144, 0.6284087300300598, 0.7269266843795776, 0.6874979734420776, 0.6293518543243408, 0.7056412696838379, 0.5958207845687866, 0.6365844011306763, 0.7854188680648804, 0.6080997586250305, 0.7024606466293335, 0.675011157989502, 0.8220226764678955, 0.8741821050643921, 0.8248507380485535, 0.6917369961738586, 0.7325636148452759, 0.6298115849494934, 0.6180270910263062, 0.6232433915138245, 0.7176271677017212]","[0.5726377367973328, 0.773686408996582, 0.6962052583694458, 0.641705334186554, 0.7280503511428833, 0.7290613055229187, 0.7701845169067383, 0.7573500871658325, 0.7252845168113708, 0.590003490447998, 0.6075047850608826, 0.7018030285835266, 0.6596131920814514, 0.7727108001708984, 0.5874572992324829, 0.7482919692993164, 0.6913173198699951, 0.636679470539093, 0.7443246841430664, 0.6831139326095581, 0.7356424927711487, 0.7074335813522339, 0.574498176574707, 0.6819043159484863, 0.8676313757896423, 0.9736460447311401, 0.627021074295044, 0.838001549243927, 0.7028344869613647, 0.713951587677002, 0.7733675241470337, 0.6283392906188965, 0.8087081909179688, 0.7238947153091431, 0.7715698480606079, 0.8391305208206177, 0.782000720500946, 0.636328935623169, 0.7306128740310669, 0.7413149476051331, 0.7504867911338806, 0.6319108009338379, 0.7433739304542542, 0.8393751382827759, 0.7144718766212463, 0.7452483773231506, 0.8701441287994385, 0.9007789492607117, 0.8424094319343567, 0.8719574809074402, 0.6704050302505493, 0.5792853832244873, 0.8309634923934937, 0.7515078186988831, 0.8183774352073669, 0.7091989517211914, 0.707108736038208, 0.7382789850234985, 0.8147333860397339, 0.66156005859375, 0.7388842105865479, 0.6564900279045105, 0.6253786087036133, 0.6767721772193909, 0.6570141315460205, 0.6713075637817383, 0.8299729824066162, 0.6899617910385132, 0.8170799016952515, 0.6930309534072876, 0.669590413570404, 0.5603123903274536, 0.6392413377761841, 0.6794285774230957, 0.7036740779876709, 0.5959042310714722, 0.7152507305145264, 0.6882432699203491, 0.8096319437026978, 0.7417426109313965, 0.7043921947479248, 0.6374902129173279, 0.8762771487236023, 0.7959197163581848, 0.6097012162208557, 0.7427312135696411, 0.6422426700592041, 0.659585177898407, 0.8238065838813782, 0.7024162411689758, 0.7686856389045715, 0.8181242346763611, 0.6109038591384888, 0.8542850017547607, 0.821747362613678, 0.6439048051834106, 0.7201246619224548, 0.7597821950912476, 0.6577473878860474, 0.8662432432174683, 0.7652201652526855, 0.7598881721496582, 0.5826832056045532, 0.7654218077659607, 0.7614566087722778, 0.6301056146621704, 0.8899657726287842, 0.8113247156143188, 0.7312570810317993, 0.8249157667160034, 0.7209507822990417, 0.8461140394210815, 0.6596494317054749, 0.7821613550186157, 0.8180469274520874, 0.7217035293579102, 0.7399532198905945, 0.7289713621139526, 0.6157360076904297, 0.7525229454040527, 0.5854282975196838, 0.6634811758995056, 0.7738771438598633, 0.6372001767158508, 0.6779235601425171, 0.673322319984436, 0.8833868503570557, 0.8099594712257385, 0.807731568813324, 0.7072556018829346, 0.7596542239189148, 0.6651721000671387, 0.628504753112793, 0.6004639267921448, 0.7030850648880005]"
5,"[0.5698304772377014, 0.7601901888847351, 0.7081692218780518, 0.7341696619987488, 0.7252745628356934, 0.7411311864852905, 0.7556247115135193, 0.738315224647522, 0.7509143948554993, 0.5957117080688477, 0.5927327275276184, 0.6723678708076477, 0.6212536096572876, 0.7313926219940186, 0.6096796989440918, 0.7542532682418823, 0.6180267333984375, 0.6945046782493591, 0.7419344186782837, 0.7118242979049683, 0.7149404287338257, 0.7019932270050049, 0.6308252811431885, 0.6697243452072144, 0.865361213684082, 0.9378702640533447, 0.6436097621917725, 0.7883552312850952, 0.7256759405136108, 0.7030012011528015, 0.7819997668266296, 0.5970153212547302, 0.8703464865684509, 0.7720382213592529, 0.7283076047897339, 0.8298866748809814, 0.7779127955436707, 0.6549053192138672, 0.6977578401565552, 0.7669971585273743, 0.8038092255592346, 0.66044020652771, 0.7098551988601685, 0.733623206615448, 0.7309274673461914, 0.7344624996185303, 0.764461874961853, 0.9084453582763672, 0.8516528606414795, 0.9078025817871094, 0.6895209550857544, 0.6085902452468872, 0.8259854316711426, 0.6996017098426819, 0.8132818937301636, 0.7003149390220642, 0.7039976119995117, 0.700840950012207, 0.8858076333999634, 0.6869504451751709, 0.7314438819885254, 0.6383930444717407, 0.6453912258148193, 0.6729243397712708, 0.6269872188568115, 0.6813267469406128, 0.7222586870193481, 0.6522208452224731, 0.8233472108840942, 0.6984338760375977, 0.7207463979721069, 0.60146164894104, 0.64414381980896, 0.714458703994751, 0.6744170188903809, 0.6199960112571716, 0.7456459403038025, 0.7920767664909363, 0.7673107385635376, 0.774787425994873, 0.7302214503288269, 0.6469480991363525, 0.8103457689285278, 0.7847579717636108, 0.6751461029052734, 0.7607604265213013, 0.643653154373169, 0.7036917805671692, 0.6717312335968018, 0.7708273530006409, 0.7214971780776978, 0.7756476998329163, 0.6802760362625122, 0.8020550012588501, 0.7830199003219604, 0.6670042276382446, 0.7515925168991089, 0.7128667831420898, 0.6348010301589966, 0.8187137842178345, 0.6919092535972595, 0.7495532035827637, 0.6006832122802734, 0.6962851285934448, 0.8172528743743896, 0.6644777059555054, 0.8078231811523438, 0.6987087726593018, 0.6633655428886414, 0.8339714407920837, 0.7024440169334412, 0.859161376953125, 0.6931931376457214, 0.7498362064361572, 0.7744759321212769, 0.649071216583252, 0.7433371543884277, 0.7127735018730164, 0.6588714718818665, 0.7218799591064453, 0.6199698448181152, 0.6539802551269531, 0.7848209142684937, 0.6333267092704773, 0.6985004544258118, 0.6956974267959595, 0.8202859163284302, 0.883081316947937, 0.8271163105964661, 0.7146722078323364, 0.7405157685279846, 0.6414411067962646, 0.6354206800460815, 0.6331305503845215, 0.7346103191375732]","[0.5895667672157288, 0.7853204011917114, 0.7018178701400757, 0.670288622379303, 0.7463134527206421, 0.7432525157928467, 0.7698796987533569, 0.7661563754081726, 0.7484678030014038, 0.6139242649078369, 0.6312098503112793, 0.7182012796401978, 0.6801453828811646, 0.776907742023468, 0.6174371242523193, 0.7570751309394836, 0.7024446725845337, 0.6629431247711182, 0.7545549273490906, 0.6980052590370178, 0.7426578998565674, 0.7185547947883606, 0.6101580858230591, 0.6903449296951294, 0.8688111305236816, 0.9686561822891235, 0.645089864730835, 0.8316867351531982, 0.7186332941055298, 0.7231059670448303, 0.7920815944671631, 0.6461545825004578, 0.8144809603691101, 0.7428007125854492, 0.7832105755805969, 0.855958104133606, 0.7915233373641968, 0.657477080821991, 0.7485364675521851, 0.7652345895767212, 0.7640362977981567, 0.6546415090560913, 0.7566317319869995, 0.8457537293434143, 0.7413784861564636, 0.7586671710014343, 0.8686943650245667, 0.9081328511238098, 0.8484405875205994, 0.875899076461792, 0.6898081302642822, 0.6096788644790649, 0.8338174819946289, 0.76133793592453, 0.8298657536506653, 0.7254675626754761, 0.7160648107528687, 0.7566582560539246, 0.8290016651153564, 0.6739282608032227, 0.7578288912773132, 0.6723295450210571, 0.6517642140388489, 0.6893864870071411, 0.6689859628677368, 0.6907848119735718, 0.8263680338859558, 0.7063273191452026, 0.8270891308784485, 0.7148764133453369, 0.6979770660400391, 0.5957348346710205, 0.6600549221038818, 0.7012802362442017, 0.7180488109588623, 0.6204032897949219, 0.7345424890518188, 0.7064914703369141, 0.8158291578292847, 0.7458338737487793, 0.7286326885223389, 0.6555920839309692, 0.868863046169281, 0.8136181831359863, 0.6355797052383423, 0.7580857276916504, 0.6654590368270874, 0.6702588796615601, 0.8040964007377625, 0.7202338576316833, 0.7830169796943665, 0.8264275193214417, 0.6389288902282715, 0.8491498231887817, 0.8254904747009277, 0.6763235926628113, 0.7363115549087524, 0.7639663219451904, 0.6719784736633301, 0.8729857206344604, 0.7725473642349243, 0.7772761583328247, 0.6118274927139282, 0.7727302312850952, 0.7704434394836426, 0.6456815004348755, 0.8970892429351807, 0.8063932061195374, 0.7479945421218872, 0.8317345380783081, 0.7313602566719055, 0.8538788557052612, 0.6774272918701172, 0.7873358726501465, 0.825864851474762, 0.7273193597793579, 0.7409404516220093, 0.7462931871414185, 0.6470083594322205, 0.7618253231048584, 0.621360182762146, 0.6781437993049622, 0.7772863507270813, 0.661410927772522, 0.6841403841972351, 0.6937026977539062, 0.8775392174720764, 0.8236232399940491, 0.8095090389251709, 0.723983645439148, 0.7544063925743103, 0.6800493001937866, 0.6524256467819214, 0.6156312227249146, 0.7196698188781738]"
